F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
-28703.964,0.73,-4.051752,-6.9963,1473.45,0,4.4051,16004.16,1,-11645.82,-1.3342,24.444,-13.735,5.9854,14.2473,1.4892,9959.04,-3199.35,6.867,-4850.82,,False
-28726.73,1.73,-5.153,-4.27404,783.15,0,4.545,16041.48,1,-9759.42,-1.6096,50.595,-5.171,4.6222,14.9982,3.1206,10107.44,-3064.95,9.471,378.78,,True
-28717.12,0.73,-8.44,-8.259,2573.95,0,3.59962,16422.78,0,-10775.22,-0.49086,38.82552,-38.65,4.4096,17.79,1.9818,10971.04,-3638.85,2.0373,-5215.48,,False
-81470.29,0.73,-4.3866,-5.5746,1499.68,0,3.56675,16270.04,1,-9416.714,-4.568,39.5931,-8.639,8.508,12.98424,11.562,9681.1,724.95,2.022,-4378.42,,False
-28750.8,1.73,-4.6502,-4.33848,1409.15,1,5.07,16548.78,1,-9797.82,-1.025,39.9582,-14.73,5.5188,13.5726,2.544,10965.64,-2607.15,4.314,-1919.22,,True
-28705.287,1.73,-5.1856,-11.226,1250.15,0,4.2328,17286.18,1,-9435.88,-3.344,51.861,-6.654,4.7846,13.4412,2.3127,9762.9,-2841.45,2.9487,-4973.6,-11.68,True
-28664.51,1.73,-5.1888,-6.6147,1079.35,1,3.61638,9467.98,1,-15433.82,-2.38,52.62,-7.631,4.629,15.4134,1.32114,9905.84,-3290.13,0.45504,-4813.82,-9.55,True
-28709.973,1.73,-7.898,-8.76,1084.95,1,4.2549,16397.18,1,-10107.02,-0.4457,27.744,-10.322,4.642,13.8525,2.2365,15152.24,-2912.85,1.8024,-4898.22,,True
-28624.22,1.73,-5.6424,-5.0367,2533.25,0,4.014,13923.98,0,-9682.42,-1.376,2.1,-15.24,4.6122,13.4334,3.093,9359.04,-4876.95,0.603,-5530.62,,False
-28692.215,1.73,-5.1266,-9.288,1769.45,0,5.861,12569.98,1,-10185.82,-1.5958,60.816,-7.892,7.952,18.261,2.2536,9203.84,-3756.27,0.9915,-5235.74,,False
