F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
-69.21,16536.84,6,Europe,-16720.42,735.74,22.14,15.48,Medium,124.05,1618.89,-1.19,4.2,158.97,2741.6,1012.86,2285.1,-14982.14,-27,0.9,624.84,-75.3,-23473.86,-3567.57,52.27,12,-95.04,-506.31,-3077.82,15.35,-53.04,-112.43,-2537.3,4.06,40.32,3.18,2697.84
-168.67,28434.21,12,UK,-8070.93,91.35,-1.86,18.6,Very high,57.78,1137.78,-9.45,6.26,274.47,3318,24.15,1434.8,-11318.1,-42.96,5.62,350.19,-53.07,-17670.66,1130.1,134.5,4,-62.18,-731.28,-4559.7,20.74,-36.44,-44.06,-2384.48,33.52,176.98,5.81,3632.57
-76.19,22895.97,18,Europe,-12126.02,145.64,-68.28,14.22,High,-65.88,2065.89,-9.65,-8.56,254.7,1402.74,1519.8,3339.2,-23039.76,-36.39,2.78,512.1,-71.82,-20750.98,-13063.68,16.83,8,-274.11,-355.08,-3965.13,16.65,-76.06,-81.66,-2225.42,28.9,165,2.85,2257.4
-103.19,22926.51,12,Europe,-10050.95,218.39,-40.58,14.99,Very high,132.12,3228.42,-10.63,-1.12,159.48,3226.36,1080.42,2361.38,-13324.14,-42.69,12.58,395.64,-63.39,-16415.9,-15996.18,75.62,4,-947.62,-518.52,-1509.87,21.99,-128.34,-142.53,-1320.1,1.12,211.88,2.96,1785.03
-49.84,-4224.12,6,Rest,-10197.84,-346.17,-47.04,8.92,High,113.31,1678.11,-8.72,9.28,255.21,1772.3,-74.49,2556.04,-25230.76,-37.89,9.06,415.8,-69.63,-17479.94,-2976.36,73.94,8,-495.81,-576.6,-1907.67,14.1,72.98,-75.83,-2019.04,8.16,154.32,2.92,1063.23
-81.99,18562.08,6,Europe,-7609.36,488.6,32.02,13.49,Very low,84.81,1736.16,-8.05,3.28,99.12,1222.44,1648.38,2295.24,-17796.74,-31.44,9.84,395.22,-75.39,-16532.38,-9771.3,55.56,10,103.95,-607.56,-2712.42,13.06,-94.88,-88.85,-1845.04,0.86,183.4,7.49,-1145.79
-84.73,31189.11,0,Rest,-16377.43,80.05,-18.32,12.51,Medium,86.73,779.01,-9.71,7.5,262.83,2498.86,-481.2,1823.13,-11978.04,-35.4,1.44,366.57,-72.72,-19132.08,-3886.89,26.8,8,159.23,-682.35,-3934.44,18.16,-5.76,-22.56,-2232.14,3275.12,202.78,3.31,2230.04
-83.14,21001.83,6,UK,-3364.89,710.04,-77.98,14.75,High,187.29,2620.26,-10.97,-4.36,279.9,3437.76,282.09,1792.93,-9290.06,-40.74,9.9,413.4,-70.68,-19266.58,-1919.34,15.61,12,-369.82,-621.57,-3707.61,23.13,-82.78,-41.54,-1878.08,0.78,124.76,0.54,3528.72
-121.21,22959.45,12,UK,-9573.95,608.11,161.78,13.16,Low,-136.17,1665.48,-13.28,18.1,321.24,2736.86,-291.51,2127.67,-14479.54,-28.53,12.02,402.33,-72.45,-16786.64,437.7,44.47,12,-62.37,-581.16,-3429.63,17.75,-44.44,-47,-1196.1,0,26.66,1.94,-139.89
-82.66,25857.54,15,USA,-9142.45,434.11,133.38,18.66,Very high,233.1,-264.21,-14.89,-6.8,114.93,1738.56,642.63,2435.17,-21366.04,-44.82,5.08,328.44,-67.17,-17717.74,-4555.59,13.59,10,-258.83,-684.69,-1875.15,16.43,-16.44,-119.31,-1865,0.06,136.98,2.51,598.78
